City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Dikson,RU,73.51,80.55,39.49,92,100,20.6,moderate rain,2.74,0.0
1,Bezenchuk,RU,52.98,49.43,77.54,66,58,15.3,light rain,0.93,0.0
2,Albany,US,42.6,-73.97,66.0,74,95,3.89,overcast clouds,0.0,0.0
3,Cabo San Lucas,MX,22.89,-109.91,82.99,69,99,3.0,overcast clouds,0.0,0.0
4,Lata,PT,40.16,-8.33,78.01,68,94,7.11,overcast clouds,0.0,0.0
5,Kaitangata,NZ,-46.28,169.85,50.0,86,83,1.99,broken clouds,0.0,0.0
6,Nikolskoye,RU,59.7,30.79,78.8,39,0,15.66,clear sky,0.0,0.0
7,Punta Arenas,CL,-53.15,-70.92,33.8,69,0,8.05,clear sky,0.0,0.0
8,Bathsheba,BB,13.22,-59.52,84.2,74,20,23.04,few clouds,0.0,0.0
9,Kapaa,US,22.08,-159.32,78.8,78,90,11.41,overcast clouds,0.0,0.0
10,Tasiilaq,GL,65.61,-37.64,42.8,93,75,4.7,broken clouds,0.0,0.0
11,Salalah,OM,17.02,54.09,86.0,84,75,16.11,broken clouds,0.0,0.0
12,Hermanus,ZA,-34.42,19.23,59.0,83,97,15.01,light rain,0.59,0.0
13,Edd,ER,13.93,41.69,95.99,34,41,16.67,scattered clouds,0.0,0.0
14,Itaituba,BR,-4.28,-55.98,80.6,83,42,2.75,scattered clouds,0.0,0.0
15,East London,ZA,-33.02,27.91,75.2,29,0,5.82,clear sky,0.0,0.0
16,Port Alfred,ZA,-33.59,26.89,74.44,25,0,23.51,clear sky,0.0,0.0
17,Atuona,PF,-9.8,-139.03,80.15,77,12,11.1,light rain,0.11,0.0
18,Portland,US,45.52,-122.68,62.6,77,90,7.0,overcast clouds,0.0,0.0
19,Iqaluit,CA,63.75,-68.51,44.6,65,20,6.06,few clouds,0.0,0.0
20,Porto Novo,BJ,6.5,2.6,82.4,78,40,11.41,scattered clouds,0.0,0.0
21,Chokurdakh,RU,70.63,147.92,50.49,46,11,15.46,few clouds,0.0,0.0
22,Humaita,BR,-7.51,-63.02,77.76,72,5,1.79,clear sky,0.0,0.0
23,Providencia,MX,28.72,-111.58,81.0,73,0,4.0,clear sky,0.0,0.0
24,Castro,BR,-24.79,-50.01,49.86,96,100,9.78,overcast clouds,0.0,0.0
25,Carnarvon,AU,-24.87,113.63,69.8,88,90,5.82,overcast clouds,0.0,0.0
26,Mokrous,RU,51.23,47.52,78.28,55,0,17.18,clear sky,0.0,0.0
27,Rikitea,PF,-23.12,-134.97,72.21,79,15,13.18,few clouds,0.0,0.0
28,Birkeland,NO,58.33,8.23,77.0,50,12,13.87,few clouds,0.0,0.0
29,Dolores,AR,-36.31,-57.68,39.74,77,85,4.34,overcast clouds,0.0,0.0
30,Newburgh,US,41.5,-74.01,70.0,88,75,2.57,broken clouds,0.0,0.0
31,Vaini,TO,-21.2,-175.2,73.4,94,20,3.36,few clouds,0.0,0.0
32,Gigmoto,PH,13.78,124.39,82.08,79,100,8.63,light rain,0.8,0.0
33,Cape Town,ZA,-33.93,18.42,60.8,87,75,28.86,heavy intensity rain,9.14,0.0
34,Vila,PT,42.03,-8.16,66.0,93,99,5.99,overcast clouds,0.0,0.0
35,Nouadhibou,MR,20.93,-17.03,82.4,54,6,21.92,clear sky,0.0,0.0
36,Khatanga,RU,71.97,102.5,65.68,47,57,13.58,broken clouds,0.0,0.0
37,Vestmannaeyjar,IS,63.44,-20.27,57.2,71,75,5.82,broken clouds,0.0,0.0
38,Sobolevo,RU,54.43,31.9,78.22,65,21,10.2,few clouds,0.0,0.0
39,Clyde River,CA,70.47,-68.59,42.8,87,1,2.24,clear sky,0.0,0.0
40,Tuktoyaktuk,CA,69.45,-133.04,33.37,94,100,15.32,overcast clouds,0.0,0.0
41,Marzuq,YE,14.4,46.47,91.17,28,96,2.64,overcast clouds,0.0,0.0
42,Grand Gaube,MU,-20.01,57.66,77.0,70,85,13.0,overcast clouds,0.0,0.0
43,Kamyshlov,RU,56.84,62.71,61.2,50,91,4.68,overcast clouds,0.0,0.0
44,Butaritari,KI,3.07,172.79,82.36,82,72,18.19,light rain,0.63,0.0
45,Los Llanos De Aridane,ES,28.66,-17.92,75.2,60,75,16.11,broken clouds,0.0,0.0
46,College,US,64.86,-147.8,51.8,76,40,5.82,scattered clouds,0.0,0.0
47,Dunedin,NZ,-45.87,170.5,48.99,95,99,9.15,overcast clouds,0.0,0.0
48,Sinnamary,GF,5.38,-52.95,81.18,74,1,4.54,clear sky,0.0,0.0
49,Ciudad Bolivar,VE,8.12,-63.55,79.5,78,42,9.86,scattered clouds,0.0,0.0
50,Salinopolis,BR,-0.61,-47.36,80.78,83,9,8.16,light rain,0.67,0.0
51,Sao Filipe,CV,14.9,-24.5,75.0,77,40,5.01,scattered clouds,0.0,0.0
52,Egvekinot,RU,66.32,-179.17,30.61,96,100,2.51,overcast clouds,0.0,0.0
53,Xining,CN,36.62,101.77,69.17,27,84,8.52,broken clouds,0.0,0.0
54,Harper,LR,4.38,-7.72,78.89,78,89,12.06,overcast clouds,0.0,0.0
55,Bluff,NZ,-46.6,168.33,39.0,83,99,3.0,overcast clouds,0.0,0.0
56,Boa Vista,BR,2.82,-60.67,77.0,88,75,2.24,broken clouds,0.0,0.0
57,Provideniya,RU,64.38,-173.3,41.56,71,44,22.59,scattered clouds,0.0,0.0
58,Vostok,RU,46.49,135.88,50.79,96,100,2.59,overcast clouds,0.0,0.0
59,Mataura,NZ,-46.19,168.86,39.0,83,89,3.0,overcast clouds,0.0,0.0
60,Busselton,AU,-33.65,115.33,57.99,79,47,16.58,scattered clouds,0.0,0.0
61,Hobart,AU,-42.88,147.33,41.0,86,38,5.82,scattered clouds,0.0,0.0
62,Kon Tum,VN,14.35,108.0,75.16,87,100,1.41,overcast clouds,0.0,0.0
63,Alice Town,BS,25.72,-79.3,82.67,81,39,15.73,scattered clouds,0.0,0.0
64,Tiksi,RU,71.69,128.87,59.11,57,100,6.24,overcast clouds,0.0,0.0
65,Kindia,GN,10.06,-12.87,85.69,61,95,3.56,overcast clouds,0.0,0.0
66,Gualaceo,EC,-2.9,-78.78,55.4,100,100,2.24,moderate rain,1.18,0.0
67,Barrow,US,71.29,-156.79,35.6,93,1,8.05,clear sky,0.0,0.0
68,Atar,MR,20.52,-13.05,108.25,9,14,15.5,few clouds,0.0,0.0
69,Ushuaia,AR,-54.8,-68.3,33.8,86,75,23.04,shower rain,0.0,0.0
70,Kodiak,US,57.79,-152.41,44.6,70,1,3.36,clear sky,0.0,0.0
71,Santa Rosa,PH,14.31,121.11,86.0,70,75,6.93,broken clouds,0.0,0.0
72,Ossora,RU,59.24,163.07,54.86,71,72,1.21,broken clouds,0.0,0.0
73,Thompson,CA,55.74,-97.86,53.6,100,75,2.24,mist,0.0,0.0
74,Bredasdorp,ZA,-34.53,20.04,59.0,87,53,21.92,moderate rain,1.22,0.0
75,Mangrol,IN,21.12,70.12,88.88,66,98,11.99,overcast clouds,0.0,0.0
76,Kabo,CF,7.7,18.63,90.21,48,40,4.56,scattered clouds,0.0,0.0
77,Grand Baie,MU,-20.02,57.58,77.0,70,83,13.0,broken clouds,0.0,0.0
78,Ancud,CL,-41.87,-73.82,44.01,100,90,3.36,overcast clouds,0.0,0.0
79,Mahebourg,MU,-20.41,57.7,71.6,94,75,10.29,shower rain,0.0,0.0
80,New Norfolk,AU,-42.78,147.06,39.99,91,28,2.19,scattered clouds,0.0,0.0
81,Te Anau,NZ,-45.42,167.72,43.32,86,88,2.08,overcast clouds,0.0,0.0
82,Aklavik,CA,68.22,-135.01,44.6,81,75,8.05,broken clouds,0.0,0.0
83,San Patricio,MX,19.22,-104.7,76.12,76,77,3.13,broken clouds,0.0,0.0
84,Hithadhoo,MV,-0.6,73.08,84.78,73,94,6.69,overcast clouds,0.0,0.0
85,Qaanaaq,GL,77.48,-69.36,41.58,69,0,1.43,clear sky,0.0,0.0
86,Urumqi,CN,43.8,87.6,89.6,21,65,20.13,broken clouds,0.0,0.0
87,Sorong,ID,-0.88,131.25,79.66,81,89,2.82,light rain,0.62,0.0
88,Tevriz,RU,57.51,72.4,61.65,55,72,11.3,broken clouds,0.0,0.0
89,Ulladulla,AU,-35.35,150.47,46.99,81,90,3.36,overcast clouds,0.0,0.0
90,Lagos,NG,6.58,3.75,86.0,74,75,12.75,broken clouds,0.0,0.0
91,Arraial Do Cabo,BR,-22.97,-42.03,69.8,88,0,3.36,clear sky,0.0,0.0
92,Torbay,CA,47.67,-52.73,64.99,82,90,4.7,overcast clouds,0.0,0.0
93,Puerto Ayora,EC,-0.74,-90.35,69.01,93,54,1.99,broken clouds,0.0,0.0
94,Jamestown,US,42.1,-79.24,66.0,100,90,9.17,light rain,0.51,0.0
95,Bethal,ZA,-26.46,29.47,66.0,31,0,5.99,clear sky,0.0,0.0
96,Cherskiy,RU,68.75,161.3,33.71,85,32,13.0,scattered clouds,0.0,0.0
97,Broome,US,42.25,-75.83,62.6,72,90,6.93,overcast clouds,0.0,0.0
98,Asfi,MA,32.3,-9.24,74.14,60,0,21.61,clear sky,0.0,0.0
99,Norman Wells,CA,65.28,-126.83,53.6,87,75,6.93,light intensity shower rain,0.0,0.0
100,Kroya,ID,-7.63,109.25,77.41,86,48,7.27,scattered clouds,0.0,0.0
101,Bambous Virieux,MU,-20.34,57.76,77.0,94,75,10.29,shower rain,0.0,0.0
102,Hofn,IS,64.25,-15.21,50.0,87,90,6.93,overcast clouds,0.0,0.0
103,Eskilstuna,SE,59.37,16.51,86.0,28,0,5.82,clear sky,0.0,0.0
104,Kristiansand,NO,58.15,8.0,77.0,50,7,13.87,clear sky,0.0,0.0
105,Komarovo,RU,60.18,29.82,81.0,39,0,15.66,clear sky,0.0,0.0
106,Sault Sainte Marie,CA,46.52,-84.33,62.6,100,90,6.93,fog,0.0,0.0
107,Livingston,GB,55.9,-3.52,66.0,88,75,11.41,broken clouds,0.0,0.0
108,Olinda,BR,-8.01,-34.86,75.2,88,75,4.7,broken clouds,0.0,0.0
109,Katsuura,JP,35.13,140.3,77.0,77,100,3.0,overcast clouds,0.0,0.0
110,Namibe,AO,-15.2,12.15,73.4,73,40,11.41,scattered clouds,0.0,0.0
111,Pareora,NZ,-44.49,171.21,48.0,97,100,5.75,overcast clouds,0.0,0.0
112,Port Keats,AU,-14.25,129.55,73.94,39,100,8.46,overcast clouds,0.0,0.0
113,Cidreira,BR,-30.18,-50.21,55.02,65,100,5.95,overcast clouds,0.0,0.0
114,Imeni Poliny Osipenko,RU,52.42,136.49,58.96,77,72,5.75,broken clouds,0.0,0.0
115,Nador,MA,35.17,-2.93,87.8,26,0,14.99,clear sky,0.0,0.0
116,Hilo,US,19.73,-155.09,75.2,83,90,4.68,overcast clouds,0.0,0.0
117,Hambantota,LK,6.12,81.12,91.4,55,20,16.11,few clouds,0.0,0.0
118,Mogzon,RU,51.74,111.96,68.47,60,26,5.64,scattered clouds,0.0,0.0
119,Dombas,NO,62.07,9.12,76.21,34,0,12.71,clear sky,0.0,0.0
120,Faanui,PF,-16.48,-151.75,76.77,77,25,15.97,scattered clouds,0.0,0.0
121,Korla,CN,41.76,86.15,91.76,11,64,6.76,broken clouds,0.0,0.0
122,Saint George,US,37.1,-113.58,75.2,23,1,6.93,clear sky,0.0,0.0
