City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
17,Praia,CV,84.2,scattered clouds,14.92,-23.51,LT Aparthotel
19,Jetpur,IN,92.3,overcast clouds,21.73,70.62,Hotel The Grand Bansari
20,Kahului,US,78.8,overcast clouds,20.89,-156.47,Maui Seaside Hotel
34,Eskisehir,TR,80.6,few clouds,39.78,30.52,Hotel ibis Eskisehir
38,Faanui,PF,76.78,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Hithadhoo,MV,84.76,overcast clouds,-0.6,73.08,Scoop Guest House
44,Upata,VE,78.01,broken clouds,8.01,-62.4,Posada Villa Nela
45,Kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
46,Labuhan,ID,79.39,clear sky,-6.88,112.21,bador sepret
48,Dong Hoi,VN,84.09,overcast clouds,17.48,106.6,Nam Long Hotel
52,Juegang,CN,79.0,overcast clouds,32.32,121.19,Rudong Y Hotel
54,Boa Vista,BR,78.8,broken clouds,2.82,-60.67,Aipana Plaza Hotel
64,Neiafu,TO,77.0,broken clouds,-18.65,-173.98,Mystic Sands
69,Atuona,PF,80.33,clear sky,-9.8,-139.03,Villa Enata
71,Saint-Philippe,RE,77.0,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
72,Tutoia,BR,83.32,clear sky,-2.76,-42.27,Pousada Guará's
74,Kloulklubed,PW,77.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
86,Itupiranga,BR,86.0,clear sky,-5.13,-49.33,JAIRO ORLINDO VIEIRA
89,Les Cayes,HT,84.09,overcast clouds,18.2,-73.75,Villa Orphee
96,Kavaratti,IN,83.79,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
99,Cabo San Lucas,MX,82.99,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
106,Vanimo,PG,80.17,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
111,Suluq,LY,90.39,clear sky,31.67,20.25,ورشة الحضيري لاكترونات وخدمات النت
114,Boueni,YT,84.2,clear sky,-12.9,45.08,Auberge bouloulou( inter djasmire )
121,Cay,TR,79.7,clear sky,38.59,31.03,Çay Öğretmenevi
122,Saint Peter,BB,86.0,few clouds,13.25,-59.62,Legend Garden Condos
123,Padang,ID,80.8,overcast clouds,-0.95,100.35,Mercure Padang
124,Da Nang,VN,86.0,few clouds,16.07,108.22,Grand Mercure Danang
125,Nikolskoye,RU,80.6,few clouds,59.7,30.79,Tourist House - Sablino
126,Mahibadhoo,MV,83.82,broken clouds,3.78,72.97,Omadhoo Inn
129,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
