City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Busselton,AU,-33.65,115.33,52.0,71,40,12.82,scattered clouds,0.0,0.0
1,Saint-Francois,FR,46.42,3.91,69.8,60,41,3.36,scattered clouds,0.0,0.0
2,Ushuaia,AR,-54.8,-68.3,33.8,94,75,12.75,shower rain,0.0,0.0
3,Mataura,NZ,-46.19,168.86,39.0,83,94,3.0,overcast clouds,0.0,0.0
4,Rikitea,PF,-23.12,-134.97,69.93,54,100,9.95,overcast clouds,0.0,0.0
5,Dikson,RU,73.51,80.55,38.07,79,17,11.92,few clouds,0.0,0.0
6,Sao Filipe,CV,14.9,-24.5,79.57,64,0,16.04,clear sky,0.0,0.0
7,Atocha,BO,-20.93,-66.23,41.38,48,0,10.96,clear sky,0.0,0.0
8,Punta Arenas,CL,-53.15,-70.92,35.6,64,0,13.87,clear sky,0.0,0.0
9,Hecun,CN,36.53,114.11,73.17,60,27,1.92,scattered clouds,0.0,0.0
10,Bredasdorp,ZA,-34.53,20.04,46.4,100,14,3.47,few clouds,0.0,0.0
11,Khani,GE,41.96,42.96,80.6,47,0,16.11,clear sky,0.0,0.0
12,Karakol,KG,42.49,78.39,52.23,60,96,1.74,overcast clouds,0.0,0.0
13,Ponta Do Sol,PT,32.67,-17.1,69.8,68,20,12.75,few clouds,0.0,0.0
14,New Norfolk,AU,-42.78,147.06,53.01,90,100,2.48,overcast clouds,0.0,0.0
15,Pangnirtung,CA,66.15,-65.71,39.2,100,90,8.05,overcast clouds,0.0,0.0
16,Longyearbyen,SJ,78.22,15.64,44.6,75,75,3.36,broken clouds,0.0,0.0
17,Fortuna,US,40.6,-124.16,73.0,82,20,16.11,few clouds,0.0,0.0
18,Humaita,BR,-7.51,-63.02,82.35,62,85,1.48,overcast clouds,0.0,0.0
19,Atuona,PF,-9.8,-139.03,79.77,71,7,14.5,clear sky,0.0,0.0
20,Cidreira,BR,-30.18,-50.21,68.27,71,33,9.15,scattered clouds,0.0,0.0
21,Turukhansk,RU,65.82,87.98,55.78,70,98,6.02,overcast clouds,0.0,0.0
22,Lompoc,US,34.64,-120.46,72.0,60,75,14.99,broken clouds,0.0,0.0
23,Henties Bay,NA,-22.12,14.28,66.99,38,0,1.99,clear sky,0.0,0.0
24,Port Blair,IN,11.67,92.75,82.35,80,100,7.47,overcast clouds,0.0,0.0
25,Puttur,IN,12.77,75.22,77.0,83,75,4.7,broken clouds,0.0,0.0
26,Port Hardy,CA,50.7,-127.42,59.0,93,90,5.82,mist,0.0,0.0
27,Gat,IL,31.61,34.76,75.0,80,0,3.06,clear sky,0.0,0.0
28,Butaritari,KI,3.07,172.79,83.53,72,32,16.2,scattered clouds,0.0,0.0
29,Hermanus,ZA,-34.42,19.23,51.01,91,0,3.11,clear sky,0.0,0.0
30,Honiara,SB,-9.43,159.95,77.0,88,40,3.6,scattered clouds,0.0,0.0
31,Eau Claire,US,44.81,-91.5,72.0,56,90,9.17,light rain,0.0,0.0
