City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vegachi,CO,73.89,moderate rain,6.76,-74.79,Hotel Real Vegachi
11,Castro,BR,56.79,moderate rain,-24.79,-50.01,CHACARA BAILLY
32,Margate,GB,66.0,light rain,51.38,1.39,Premier Inn Margate hotel
83,Muros,ES,62.01,light rain,42.78,-9.06,Apartment Av. Castelao
95,Kachiry,KZ,63.46,moderate rain,53.07,76.1,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
128,Tura,IN,73.26,heavy intensity rain,25.52,90.22,Hotel RIKMAN Continental
133,Grand Gaube,MU,71.01,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
138,Yerofey Pavlovich,RU,59.09,light rain,53.97,121.97,lounges and warm parking
162,Puyang,CN,75.74,light rain,29.46,119.89,Xianhua Sandalwood Celebrity Hotel
170,Abengourou,CI,73.72,light rain,6.73,-3.5,Hotel des Princes
173,Caravelas,BR,71.78,light rain,-17.71,-39.25,Pousada dos Navegantes
191,Buchanan,LR,76.89,light rain,5.88,-10.05,Kamaneahn Hotel Inc
208,Lichuan,CN,66.92,light rain,30.3,108.85,Yicheng Hotel
220,Pokhara,NP,71.74,light rain,28.23,83.98,Hotel View Point
241,Tezu,IN,74.21,heavy intensity rain,27.92,96.17,Circuit House
258,Saint-Philippe,RE,69.8,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
283,Tonantins,BR,78.64,light rain,-2.87,-67.8,Hotel Rei Davi
287,Marly,FR,69.8,moderate rain,50.35,3.55,Hotel ibis Valenciennes
291,Kaeo,NZ,62.01,light rain,-35.1,173.78,Bushido Lodge
304,Cianorte,BR,62.02,light rain,-23.66,-52.6,Hotel Cianorte Diamond
309,Mega,ET,59.14,light rain,4.05,38.3,Amanuel Guest House
316,Daru,PG,78.55,light rain,-9.08,143.21,New century hotel
356,Ahipara,NZ,61.3,light rain,-35.17,173.17,Ahipara Holiday Park
358,Marawi,PH,73.99,light rain,8.0,124.29,Derogongan Residence
369,Jardim,BR,60.76,moderate rain,-21.48,-56.14,Hotel Estância
384,Roblin,CA,75.16,light rain,51.23,-101.36,Harvest Moon Inn
395,Humberto De Campos,BR,76.03,moderate rain,-2.6,-43.46,Pousada do Cabeça
399,Corpus Christi,US,78.01,moderate rain,27.8,-97.4,Holiday Inn Corpus Christi Downtown Marina
431,Along,IN,73.0,moderate rain,28.17,94.77,Hotel West
493,Japura,ID,74.03,light rain,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
515,Salinopolis,BR,79.54,light rain,-0.61,-47.36,Hotel Salinópolis
520,Fairbanks,US,64.4,moderate rain,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
522,Epe,NG,76.59,light rain,6.58,3.98,MAGVILLE HOTEL
527,Padang,ID,78.33,light rain,-0.95,100.35,Mercure Padang
535,Loreto,MX,74.73,moderate rain,22.27,-101.97,José de Jesús Velásquez mora
538,Anchorage,US,57.99,light rain,61.22,-149.9,Hotel Captain Cook
548,Santa Isabel Do Rio Negro,BR,78.13,light rain,-0.41,-65.02,Hotel GSA
559,Jishou,CN,74.66,moderate rain,28.32,109.72,7Days Inn Jishou Railway Station
